# z kT fraction_observed
1.100000000000000089e+00 1.000000000000000000e+01 6.638571890886069138e-01
1.199999999999999956e+00 1.000000000000000000e+01 6.501326202212881489e-01
1.399999999999999911e+00 1.000000000000000000e+01 6.264025388439723452e-01
1.600000000000000089e+00 1.000000000000000000e+01 6.064347325298088398e-01
0.000000000000000000e+00 2.000000000000000000e+01 1.000000000000000000e+00
5.000000000000000278e-02 2.000000000000000000e+01 9.660536913074153631e-01
1.000000000000000056e-01 2.000000000000000000e+01 9.353178038693590324e-01
1.500000000000000222e-01 2.000000000000000000e+01 9.069832913444578759e-01
2.000000000000000111e-01 2.000000000000000000e+01 8.807794303577219930e-01
2.500000000000000000e-01 2.000000000000000000e+01 8.568441766579655283e-01
3.000000000000000444e-01 2.000000000000000000e+01 8.345871617012967647e-01
3.500000000000000333e-01 2.000000000000000000e+01 8.137204237957035291e-01
4.000000000000000222e-01 2.000000000000000000e+01 7.941658265689930385e-01
4.500000000000000111e-01 2.000000000000000000e+01 7.758747173558440124e-01
5.000000000000000000e-01 2.000000000000000000e+01 7.587578841457485179e-01
5.500000000000000444e-01 2.000000000000000000e+01 7.428110857258632960e-01
6.000000000000000888e-01 2.000000000000000000e+01 7.277344523921583930e-01
6.500000000000000222e-01 2.000000000000000000e+01 7.134629232728896264e-01
8.000000000000000444e-01 2.000000000000000000e+01 6.747786606081856986e-01
9.000000000000000222e-01 2.000000000000000000e+01 6.524101407834602684e-01
1.000000000000000000e+00 2.000000000000000000e+01 6.321387535662948975e-01
1.100000000000000089e+00 2.000000000000000000e+01 6.135560013928466061e-01
1.199999999999999956e+00 2.000000000000000000e+01 5.965429743370662674e-01
1.399999999999999911e+00 2.000000000000000000e+01 5.669578292086334681e-01
1.600000000000000089e+00 2.000000000000000000e+01 5.415087496386710164e-01
0.000000000000000000e+00 3.000000000000000000e+01 1.000000000000000000e+00
5.000000000000000278e-02 3.000000000000000000e+01 9.648045210311289033e-01
1.000000000000000056e-01 3.000000000000000000e+01 9.328124909199322357e-01
1.500000000000000222e-01 3.000000000000000000e+01 9.030989355079823699e-01
2.000000000000000111e-01 3.000000000000000000e+01 8.754568452898964237e-01
2.500000000000000000e-01 3.000000000000000000e+01 8.499434363025095696e-01
3.000000000000000444e-01 3.000000000000000000e+01 8.265377697171992777e-01
3.500000000000000333e-01 3.000000000000000000e+01 8.048502983988943260e-01
4.000000000000000222e-01 3.000000000000000000e+01 7.844318318971646997e-01
4.500000000000000111e-01 3.000000000000000000e+01 7.651901753473514534e-01
5.000000000000000000e-01 3.000000000000000000e+01 7.470566352004260890e-01
5.500000000000000444e-01 3.000000000000000000e+01 7.300533883757608367e-01
6.000000000000000888e-01 3.000000000000000000e+01 7.140587970622288561e-01
6.500000000000000222e-01 3.000000000000000000e+01 6.991437832724880508e-01
8.000000000000000444e-01 3.000000000000000000e+01 6.586792073373711753e-01
9.000000000000000222e-01 3.000000000000000000e+01 6.348317684305030406e-01
1.000000000000000000e+00 3.000000000000000000e+01 6.132783814707188919e-01
1.100000000000000089e+00 3.000000000000000000e+01 5.938062327439481702e-01
1.199999999999999956e+00 3.000000000000000000e+01 5.758844793141325580e-01
1.399999999999999911e+00 3.000000000000000000e+01 5.440489300365007885e-01
1.600000000000000089e+00 3.000000000000000000e+01 5.170670899654460362e-01
0.000000000000000000e+00 4.000000000000000000e+01 1.000000000000000000e+00
5.000000000000000278e-02 4.000000000000000000e+01 9.636377403457401236e-01
1.000000000000000056e-01 4.000000000000000000e+01 9.309994879165937043e-01
1.500000000000000222e-01 4.000000000000000000e+01 9.006329568235150740e-01
2.000000000000000111e-01 4.000000000000000000e+01 8.722957336339086654e-01
2.500000000000000000e-01 4.000000000000000000e+01 8.459932569749888387e-01
3.000000000000000444e-01 4.000000000000000000e+01 8.216570846005897266e-01
3.500000000000000333e-01 4.000000000000000000e+01 7.993550821264043815e-01
4.000000000000000222e-01 4.000000000000000000e+01 7.785678850310963073e-01
